"TIV of arms exports to all, 1950-2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 05 December 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Total
Khmer Rouge (Cambodia)*,,,,,,,,,,,,,,,,,,,,,,2,6,2,2,2,,,,,,,,,,,,,2,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,6
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
Kuwait,,,,0,5,1,,,2,,44,,10,34,46,25,8,,104,97,54,111,30,,5,76,230,490,487,198,35,13,175,291,494,621,170,50,6,132,325,516,896,694,35,632,1189,482,51,212,245,67,23,45,2,12,5,279,5,9,85,113,31,73,692,359,197,113,11430
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,3,2,,,,,,,,,4,9,13,45
Laos,,,,,1,2,1,1,10,2,3,4,19,15,7,7,14,14,4,6,32,17,14,43,1,26,21,134,26,,35,54,2,90,26,62,,18,18,,8,,,,,,,44,21,30,7,36,,0,,4,,,7,26,,14,19,19,,7,,1,968
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,12,14,0,0,0,4,3,13,3,25,12,4,9,51,44,11,15,27,9,5,5,1,24,39,339
Lebanon,5,,2,5,6,8,,39,65,11,,3,13,18,,34,67,75,1,,,7,49,41,28,11,3,8,2,19,37,9,36,93,192,71,,,,,,,40,40,18,42,27,9,7,4,4,,,,,1,,5,1,52,64,1,31,24,6,46,28,84,1491
Lebanon Palestinian rebels*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,3,,,1,,0,10,,,8,,4,,,,,,,5,,,6,,,1,,1,,,,,,,,,,,1,46
LF (Lebanon)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,12,52,20,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,94
Liberia,,,,,,,,,,1,,,,,2,,,18,,,,0,1,,,,2,,1,,,,,,,,4,7,,12,3,,,,,,,,,1,8,,,,,,,,,,,,,,,,,,61
Libya,,,,,,,,3,,1,14,17,2,3,15,9,26,12,57,155,371,555,555,750,1763,1629,1816,3062,4224,3315,2969,3123,2717,1405,748,753,410,184,9,218,10,,,,,,,,,9,,,,,,1,16,16,16,22,37,8,73,109,,,,,31201
Libya GNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2
Libya HoR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,38,13,6,73
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,10,,4,15,,15,5,6,16,12,1,47,9,52,4,27,27,8,1,1,73,3,21,25,29,482
LRA (Uganda)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0
LTTE (Sri Lanka)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,1,,1,,,0,,,,,,,,,,,,,3
Luxembourg,,,0,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,3,,,1,,,,1,,,,,,7,7,,1,,,,1,,22
Macedonia (FYROM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,1,,,12,81,14,112,,,,,0,,,,,,,1,,,,,248
Madagascar,,,,,,,,,,,,3,,2,0,7,,12,1,1,,0,0,,18,6,,,,64,43,0,,8,,6,,,,,,,,,,,22,,,,,,,,,,,,,0,,,,0,,,,,193
Malawi,,,,,,,,,,,,,,,5,,,,,,,,0,,,,2,6,7,8,14,14,,,1,6,10,1,2,3,10,,,,2,,,,,,,,,,,,,,3,,,,1,2,2,2,1,,102
Malaysia,,,,,,,,,13,18,5,2,31,75,97,10,58,127,90,78,25,195,113,206,50,85,394,146,72,314,129,100,84,327,604,404,128,17,14,38,,34,13,13,308,848,33,555,39,720,26,26,154,147,65,59,408,526,508,1512,421,5,47,71,71,104,266,187,11215
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,8,,,,,,,,15,,,,5,,,5,,,5,,37
Mali,,,,,,,,,,,,3,10,4,,,1,10,,2,,15,,,,9,71,,,,,91,4,15,13,0,,,1,,1,,,,0,,,9,4,,7,,1,,,13,,8,3,10,,0,9,6,,,21,31,373
Malta,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,8,,1,,,,,,,,,,,,13,,,0,1,6,0,,0,0,,,,18,,,,,,8,8,,12,,6,8,88
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,8
Mauritania,,,,,,,,,,,2,1,1,6,1,1,,,,,11,13,,1,5,5,10,24,17,24,,19,16,,0,3,,,,8,16,18,,,16,3,3,8,4,,31,,27,7,,,,,,,9,5,11,10,7,1,35,,376
Mauritius,,,,,,,,,,,,,,,,,,,0,,,0,,,2,,,,,3,,,,,,1,,,,,6,,,8,,,29,1,,,,,,,6,,,,,,,,,,28,,26,19,128
Mexico,,7,,6,,,,,16,2,6,44,107,60,38,11,21,14,0,,82,48,15,160,63,104,72,39,68,61,75,115,342,116,,8,143,154,97,63,34,40,20,160,128,50,87,485,23,141,227,152,97,31,320,33,75,,22,59,112,229,259,63,98,334,328,218,5982
Micronesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,,,,,,,6,,,,,,,,,,,,,,,,,,,,,23
MNLF (Philippines)*,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,3,9,,,,,,,,,,,,,,,,,,,,,,,19
Mongolia,,,21,,3,10,9,12,12,,10,83,112,103,124,137,116,63,15,14,15,13,8,58,76,190,26,24,42,29,60,72,152,114,110,98,27,36,27,,,,,,,,,,,,,,,,,,,,14,,27,3,79,,,74,,,2213
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,1
Morocco,,,,,,,28,12,10,13,20,37,93,14,16,81,151,165,105,38,77,1,,21,198,206,216,408,419,723,453,777,512,381,59,38,31,32,111,126,137,62,17,100,117,30,94,225,,60,125,11,156,12,14,101,47,27,46,39,306,1403,896,76,560,46,254,351,10883
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,29,33,148,492,111,54,60,64,59,94,73,6,,,,,,,,,,,,,2,0,,,1,,,,,,,,0,0,9,12,0,,,1248
MPLA (Portugal)*,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
MTA (Myanmar)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0
Mujahedin (Afghanistan)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,7,31,59,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136
Myanmar,4,0,0,16,39,47,30,53,60,21,5,16,14,27,18,19,3,13,6,22,4,23,4,,,53,10,9,25,19,40,,38,,,,8,,,34,266,232,65,323,97,223,118,231,156,141,16,149,157,95,194,160,175,138,93,52,68,667,398,251,101,245,261,167,5920
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,5,5,,,21,11,,16,,72,6,66,15,,1,57,9,2,,,1,293
NATO**,,,,,,,,26,26,26,26,22,5,,,,,7,14,14,14,,,,,,,,,,,,1250,1250,1250,802,,,18,36,,,,,,,,,,18,,18,,,,,116,,,420,,,22,,,,12,12,5401
Nepal,,,,,,,,,,,,,,,,2,0,,,,8,8,3,1,2,15,6,,,,,1,,,3,3,,,,1,,,1,,,1,,,,,,11,9,9,34,6,,,1,,,3,,,5,14,,,144
Netherlands,154,454,391,975,794,746,1171,695,467,146,294,306,368,711,910,745,189,731,266,549,690,689,656,21,40,96,266,579,704,780,626,762,1248,1361,1203,901,815,632,383,709,276,324,241,144,211,84,205,126,271,281,123,184,244,125,127,102,320,240,157,296,193,147,375,331,11,64,115,35,29571
New Zealand,41,63,151,20,,38,148,90,58,,119,111,8,5,,10,407,4,56,,168,133,20,19,7,48,7,34,,,,31,62,100,41,9,29,5,59,26,23,42,55,36,16,7,7,309,15,304,,45,17,107,49,10,5,81,2,56,58,28,30,26,84,90,,,3626
Nicaragua,,,,3,13,27,1,4,6,,2,8,6,8,0,0,2,,,,,5,5,12,,,7,19,13,,,41,67,47,182,87,98,226,63,34,102,1,,,,,,,,,,,,,,,,14,,14,,,,,13,15,86,,1230
Niger,,,,,,,,,,,1,1,,,1,1,,,,2,1,12,,,,,,,1,57,7,,6,13,3,,3,,,,,7,,,,,,3,,,,,,5,,,,,8,1,0,0,,13,4,9,,,159
Nigeria,,,,,,,,,,5,,1,8,9,2,114,99,45,46,39,14,12,113,7,24,439,104,68,136,87,503,293,626,50,359,576,216,115,62,15,18,3,59,41,95,2,15,1,,,36,9,6,62,11,,15,60,33,65,188,62,30,30,218,186,76,26,5533
NLA (Macedonia)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0
Northern Alliance (Afghanistan)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,19,207,,,,,,,,,,,,,,,,,228
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
North Korea,862,365,197,660,228,369,444,393,882,641,487,88,200,215,186,135,855,854,1299,605,623,1560,562,640,922,636,502,312,369,232,416,263,549,511,283,1040,1097,849,854,595,295,198,137,93,35,143,78,9,9,179,18,28,9,8,8,5,15,5,5,4,1,,,,,,,,24060
North Yemen,0,,4,,,1,,60,25,8,,23,,1,,,,62,27,14,,,,,9,9,0,13,14,709,668,149,45,9,98,101,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2131
Norway,171,69,426,419,19,168,282,142,144,110,145,103,86,227,260,371,766,686,280,518,145,86,68,63,55,49,35,27,24,44,251,435,457,441,337,122,141,198,308,667,369,322,254,181,94,79,152,159,152,155,229,99,90,14,6,14,554,591,624,588,159,614,149,62,21,153,151,361,15738
NTC (Libya)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
Oman,,,,,,,,,,1,1,,,1,1,1,2,7,5,36,26,60,11,71,67,181,150,250,82,43,12,72,182,356,120,86,49,40,19,119,59,,,55,145,278,291,163,22,,118,33,40,36,41,173,302,16,75,93,30,21,120,490,736,122,415,783,6705
OSCE**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1
PAIGC (Portugal)*,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Pakistan,194,169,145,95,145,195,158,529,353,323,42,69,88,198,85,214,594,153,418,540,447,565,675,162,230,241,279,256,649,710,854,485,537,777,856,738,280,617,412,962,635,495,379,1000,886,366,505,693,704,878,186,423,563,650,477,443,360,692,1071,1186,2189,1093,979,1080,767,784,806,710,36438
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,6,,,,,,,,,,,,,,,,,,,,,,8
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,9,,,,,,,,,,,2,,14,6,,,,,,,,35
Panama,,,,,,,,,,,,,,,0,,,,0,3,15,18,2,16,,27,6,4,5,,3,4,13,8,0,7,,,23,2,,,2,,,,0,12,,,,,1,,,,,,,7,,,15,30,,,3,15,238
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,32,,3,2,,,2,5,,3,,11,12,6,6,4,10,10,,1,,0,7,,,,,,,,,,,,,,,,,3,,,4,119
Paraguay,5,,1,1,,0,,,,,10,,11,0,8,1,1,5,9,,0,1,12,0,,20,3,,10,1,18,5,3,1,3,34,4,,14,,6,3,1,,,,2,,,,,6,,,4,1,,,,,3,8,7,0,,,,,223
Pathet Lao (Laos)*,,,,,,,,,,,11,11,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38
Peru,2,24,76,,111,26,171,117,30,175,191,96,14,24,18,58,60,28,197,89,35,156,159,465,680,658,378,939,668,642,710,870,278,322,364,333,248,603,241,16,97,108,126,42,175,46,124,312,52,97,24,5,16,22,47,368,193,172,,43,46,63,10,22,152,210,220,64,13123
Philippines,,2,1,32,2,36,42,45,27,64,51,45,11,4,2,97,87,41,15,26,9,90,52,116,51,144,262,187,162,92,75,44,17,117,39,23,,26,12,19,33,34,43,61,71,27,40,70,64,,,10,5,10,34,12,23,16,10,1,3,63,16,78,12,153,230,271,3556
PIJ (Israel/Palestine)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0
PKK (Turkey)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,1
PLO (Israel)*,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,4,12,14,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
Poland,190,575,794,1021,1999,1098,687,1080,1048,994,853,849,688,1001,1565,1155,981,746,866,948,948,940,866,1062,1079,971,790,930,1116,1131,1093,811,724,528,462,918,1380,1020,896,498,270,162,52,8,32,203,107,1,3,25,148,36,259,351,227,112,463,990,596,169,158,87,230,152,253,164,106,197,42864
Portugal,18,18,116,284,286,162,91,157,99,48,31,151,29,41,45,63,236,298,388,359,371,177,17,17,117,326,64,94,128,5,36,50,190,4,109,155,5,9,90,136,73,1018,19,361,453,20,7,0,16,3,2,19,,29,70,158,220,60,144,369,892,168,40,13,3,1,19,8,9204
PRC (Israel/Palestine)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0
Provisional IRA (UK)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Qatar,,,,,,,,,,,,,,,,,,,2,3,6,16,,,,38,26,55,16,14,55,46,128,466,324,2,2,57,91,10,5,17,65,11,10,11,201,242,300,72,14,11,11,11,,,,27,,286,30,198,319,73,55,518,896,670,5408
Regional Security System**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,14
Romania,8,79,438,904,629,370,457,193,117,108,138,41,195,227,418,518,401,442,603,411,573,487,513,551,695,658,295,349,298,645,528,478,448,285,241,332,450,215,193,276,606,63,184,14,29,2,39,61,170,142,21,19,16,17,285,437,61,98,76,56,107,80,21,20,0,22,186,99,18132
RPF (Rwanda)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
RUF (Sierra Leone)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,4,100,,8,22,11,103,141,202,118,169,34,951
Rwanda,,,,,,,,,,,,,5,0,0,0,,,,,,,,4,1,3,,1,,,,,,3,6,3,2,,2,,1,2,5,,,,1,2,9,20,14,,,,,,2,20,8,11,,,5,15,14,27,,,184
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Saint Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Saudi Arabia,0,,7,1,2,16,10,56,37,8,17,12,22,,5,48,235,210,456,383,54,10,101,182,375,474,607,946,1014,762,1094,1814,2219,1823,835,1330,2850,2009,788,1382,2073,1041,1125,2377,981,983,1731,2792,2900,1580,85,61,567,167,1170,167,205,230,391,824,1083,1222,1033,1615,2741,3352,2986,4111,61783
Senegal,,,,,,,,,,,0,8,,0,4,0,1,,1,19,,12,,1,17,,14,41,20,29,,,7,38,4,,14,18,,,,,,,1,6,,,,,,,,,,15,9,18,6,4,4,20,,6,7,15,51,22,431
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,8,1,13,6,1,1,27,,,,,,,,,16,,0,,,,14,65,158
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,19,6,1,2,15,,,10,,1,,0,,,,,,,,,,,,,,,15,,,,,,8,,7,16,,,,100
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,28,,,1,,2,,42,,,1,3,,,18,,,,,1,,6,14,,16,,12,,,,,,,9,,,,,2,0,1,,,2,,158
Singapore,,,,,,,6,,,,,,,,,1,8,,6,139,92,165,177,99,295,255,254,171,50,338,410,167,176,245,83,123,75,277,546,238,527,375,112,170,183,306,171,624,816,318,798,255,236,87,380,542,73,358,1116,1470,988,925,839,791,66,147,718,428,18212
SLA (Lebanon)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,10,17,1,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,44
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,29,208,29,,,,0,,27,,,4,,0,0,9,9,,2,6,,,,47,515
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,22,11,22,20,8,4,18,2,41,2,17,17,3,3,2,,6,39,28,,,1,,,,278
SNA (Somalia)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,12
Somalia,,,,,,,,,,,10,2,0,11,,30,52,72,4,1,,0,21,198,323,90,180,44,57,48,120,97,61,23,12,42,15,,,,16,,,,,,,,,1,,,,,,,,,,,,,,3,,1,2,2,1540
South Africa,37,73,183,53,49,106,265,173,169,68,13,,215,476,266,353,468,260,179,173,474,272,227,316,171,223,415,507,390,130,200,122,49,226,127,29,211,16,7,13,13,27,363,244,239,38,38,11,,21,6,18,,,,267,785,954,493,134,180,212,132,2,50,2,4,,11934
Southern rebels (Yemen)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,80
South Korea,144,256,266,263,158,346,412,236,212,284,248,254,131,203,266,623,569,125,345,494,76,240,375,253,446,646,552,1193,375,1348,918,888,677,493,520,753,858,764,1214,1838,1211,910,790,1010,1018,1957,1976,1226,1431,1644,1396,773,528,752,1059,805,1651,1755,1683,796,1282,1574,1078,184,721,272,1144,918,51804
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,44,1,,61,2,9,35,18,8,,214
South Vietnam,,,,0,45,59,102,12,16,20,41,111,165,131,80,143,182,253,270,553,640,955,2523,623,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7267
South Yemen,,,,,,,,,,,,,,,,,,35,7,58,17,49,112,83,68,12,,8,55,1110,1111,389,41,99,71,52,74,89,12,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3596
Soviet Union,36,,,8,48,948,1540,1500,1500,900,677,175,174,237,463,485,607,576,543,578,493,525,795,583,957,771,800,876,803,842,767,804,676,725,914,1004,1391,1546,1623,1214,696,132,,,,,,,,,,,,,,,,,,,,,,,,,,,29930
Spain,1,,,78,89,218,272,288,136,295,231,112,55,14,60,401,277,279,128,187,237,601,751,906,580,1185,831,280,492,658,692,631,517,609,88,338,1111,1110,1958,859,709,112,212,303,858,359,429,216,87,373,321,156,277,253,315,363,315,339,349,233,288,187,244,175,128,143,86,72,25457
SPLA (Sudan)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Sri Lanka,0,,0,17,,8,1,2,19,31,4,,,,0,,,,,2,,33,47,,,,0,17,7,,18,,,,52,42,28,111,19,6,19,167,22,35,74,64,210,50,85,85,297,161,45,35,49,58,97,89,71,,5,21,,20,5,,,45,2275
Sudan,,,,,,,,2,5,4,9,15,19,8,36,5,5,2,16,193,611,87,69,23,3,,,26,208,4,3,204,90,25,106,65,9,122,77,16,3,81,6,,,3,27,63,,36,,106,49,204,293,132,65,33,128,89,182,173,95,130,61,116,101,54,4296
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,10,,,,0,2,,7,,5,2,,,,,,,,,,,,23,2,,,,,,,,,,,,0,7,,3,,,66
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,9
Sweden,225,299,317,390,454,559,574,219,245,198,129,57,133,307,397,289,280,326,226,138,108,86,161,231,256,292,214,100,197,247,246,452,171,179,106,85,154,159,125,103,90,49,60,39,297,95,95,195,294,224,204,165,75,64,47,78,127,50,51,57,51,191,206,52,43,28,77,38,12469
Switzerland,154,151,315,169,142,230,313,223,232,289,219,37,4,50,261,226,362,165,188,157,135,149,186,116,64,138,143,5,214,222,269,290,172,437,399,337,108,151,179,319,440,476,388,104,119,93,187,379,436,507,23,68,63,117,203,168,83,108,18,39,48,32,11,6,1,2,64,34,12136
Syria,74,1,20,18,61,75,106,385,126,39,37,11,16,71,47,74,504,885,801,850,877,731,1497,3180,3406,1375,462,900,824,2059,1874,1348,1973,2233,1809,1575,1262,1409,1312,663,739,321,243,173,19,35,35,35,55,58,64,28,45,69,25,35,100,20,276,193,288,358,361,351,21,22,5,22,38966
Syria rebels*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,,,1,3
Taiwan,,98,304,383,300,623,256,425,721,979,428,108,137,320,347,464,321,473,295,581,580,347,245,329,366,342,480,802,789,546,516,789,804,728,433,646,1011,642,648,281,396,661,473,1148,848,1313,1465,4790,3940,1722,585,345,298,117,319,692,504,12,11,60,97,198,424,549,1078,630,97,493,42149
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,13,7,,32,,,,3,,,8,,90
Tanzania,,,,,,,,,,,,,,,4,4,21,1,,,11,60,47,118,189,48,,44,63,260,53,121,9,,,,1,,,5,,,18,,5,,4,,,,3,,,51,,10,12,1,,25,,78,115,88,26,20,20,,1533
Thailand,58,87,59,44,60,34,10,90,15,10,28,57,111,110,97,89,112,151,67,134,213,239,201,340,97,77,148,104,319,176,306,315,83,325,387,188,165,575,643,270,229,572,497,185,613,528,736,941,76,167,85,117,152,131,114,70,47,8,13,64,49,267,285,378,105,172,344,310,13847
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,18
Togo,,,,,,,,,,,1,,,,0,0,,,1,1,2,1,,2,,14,50,1,9,9,28,19,4,2,,,17,0,1,,,9,8,,3,3,,9,,,,,,,,,,,,,1,,4,,16,,,,212
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,6,6,6,,,,,0,,,,,,,,,,,,,,,,,,,5,,,24
Trinidad and Tobago,,,,,,,,,,,,,,,,11,0,,,,,,11,2,,,,,,,22,6,,,,,,0,,,,,,,,,,,,,11,0,2,,,,,6,,,24,12,12,,,46,30,,194
Tunisia,,,,,,,,11,,13,44,6,,7,4,40,,5,17,23,44,0,4,26,14,15,10,93,14,122,103,56,59,103,116,321,,56,17,48,4,20,32,,35,56,68,39,18,11,,,83,1,,168,2,,3,,7,7,,38,44,7,28,107,2167
